Team,C1,C2,C3
ARI,#A71930,#E3D4AD,#000000
ATL,#CE1141,#13274F,#EAAA00
BAL,#DF4601,#000000,#FFFFFF
BOS,#BD3039,#0C2340,#FFFFFF
CHC,#0E3386,#CC3433,#FFFFFF
CWS,#27251F,#C4CED4,#FFFFFF
CIN,#C6011F,#000000,#FFFFFF
CLE,#00385D,#E50022,#FFFFFF
COL,#333366,#C4CED4,#131413
DET,#0C2340,#FA4616,#FFFFFF
HOU,#002D62,#EB6E1F,#F4911E
KC,#004687,#BD9B60,#FFFFFF
LAA,#003263,#BA0021,#862633
LAD,#005A9C,#EF3E42,#A5ACAF
MIA,#00A3E0,#EF3340,#41748D
MIL,#12284B,#FFC52F,#FFFFFF
MIN,#002B5C,#D31145,#B9975B
NYM,#002D72,#FF5910,#FFFFFF
NYY,#003087,#E4002C,#0C2340
ATH,#003831,#EFB21E,#A2AAAD
PHI,#E81828,#002D72,#FFFFFF
PIT,#27251F,#FDB827,#FFFFFF
SD,#2F241D,#FFC425,#FFFFFF
SF,#FD5A1E,#27251F,#EFD19F
SEA,#0C2C56,#005C5C,#C4CED4
STL,#C41E3A,#0C2340,#FEDB00
TB,#092C5C,#8FBCE6,#F5D130
TEX,#003278,#C0111F,#FFFFFF
TOR,#134A8E,#1D2D5C,#E8291C
WSH,#AB0003,#14225A,#FFFFFF
